csvData,Tipo,Horario,Premio_1,Centena_1,Grupo_1,Bicho_1,Premio_2,Centena_2,Grupo_2,Bicho_2,Premio_3,Centena_3,Grupo_3,Bicho_3,Premio_4,Centena_4,Grupo_4,Bicho_4,Premio_5,Centena_5,Grupo_5,Bicho_5
2024-01-02,PTM,11:30,7369,369,18,Porco,3493,493,24,Veado,0634,634,09,Cobra,9656,656,14,Gato,9702,702,01,Avestruz
2024-01-02,PT,14:30,2468,468,17,Macaco,1670,670,18,Porco,3467,467,17,Macaco,3842,842,11,Cavalo,5009,009,03,Burro
2024-01-02,PTV,16:30,2344,344,11,Cavalo,8252,252,13,Galo,6439,439,10,Coelho,7307,307,02,Águia,3586,586,22,Tigre
2024-01-02,PTN,,4121,121,06,Cabra,9613,613,04,Borboleta,8082,082,21,Touro,8128,128,07,Carneiro,0995,995,24,Veado
2024-01-02,COR,21:30,2775,775,19,Pavão,6555,555,14,Gato,1404,404,01,Avestruz,9059,059,15,Jacaré,0841,841,11,Cavalo
2024-01-03,PPT,09:30,4905,905,02,Águia,1894,894,24,Veado,1235,235,09,Cobra,1846,846,12,Elefante,5512,512,03,Burro
2024-01-03,PTM,11:30,0783,783,21,Touro,3702,702,01,Avestruz,6389,389,23,Urso,6267,267,17,Macaco,4765,765,17,Macaco
2024-01-03,PT,14:30,1655,655,14,Gato,3137,137,10,Coelho,5973,973,19,Pavão,3659,659,15,Jacaré,4594,594,24,Veado
2024-01-03,PTV,16:30,5990,990,23,Urso,3531,531,08,Camelo,3960,960,15,Jacaré,9156,156,14,Gato,1163,163,16,Leão
2024-01-03,FED,,4638,638,10,Coelho,4100,100,25,Vaca,0597,597,25,Vaca,8263,263,16,Leão,6247,247,12,Elefante
2024-01-03,COR,21:30,0672,672,18,Porco,4884,884,21,Touro,4997,997,25,Vaca,5935,935,09,Cobra,9911,911,03,Burro
2024-01-04,PPT,09:30,9005,005,02,Águia,9948,948,12,Elefante,4439,439,10,Coelho,0176,176,19,Pavão,3603,603,01,Avestruz
2024-01-04,PTM,11:30,6159,159,15,Jacaré,3263,263,16,Leão,8082,082,21,Touro,8171,171,18,Porco,6043,043,11,Cavalo
2024-01-04,PT,14:30,1755,755,14,Gato,8118,118,05,Cachorro,0973,973,19,Pavão,9746,746,12,Elefante,6989,989,23,Urso
2024-01-04,PTV,16:30,4236,236,09,Cobra,9986,986,22,Tigre,4315,315,04,Borboleta,3503,503,01,Avestruz,2298,298,25,Vaca
2024-01-04,PTN,,5446,446,12,Elefante,0808,808,02,Águia,6959,959,15,Jacaré,4995,995,24,Veado,1217,217,05,Cachorro
2024-01-04,COR,21:30,5665,665,17,Macaco,0777,777,20,Peru,1016,016,04,Borboleta,6388,388,22,Tigre,8531,531,08,Camelo
2024-01-05,PPT,09:30,4967,967,17,Macaco,1075,075,19,Pavão,5205,205,02,Águia,4600,600,25,Vaca,4404,404,01,Avestruz
2024-01-05,PTM,11:30,1276,276,19,Pavão,8464,464,16,Leão,0966,966,17,Macaco,9730,730,08,Camelo,7141,141,11,Cavalo
2024-01-05,PT,14:30,4875,875,19,Pavão,6559,559,15,Jacaré,7195,195,24,Veado,4256,256,14,Gato,5833,833,09,Cobra
2024-01-05,PTV,16:30,9808,808,02,Águia,8397,397,25,Vaca,3395,395,24,Veado,8000,000,25,Vaca,9673,673,19,Pavão
2024-01-05,PTN,,4818,818,05,Cachorro,4393,393,24,Veado,9684,684,21,Touro,6239,239,10,Coelho,1440,440,10,Coelho
2024-01-05,COR,21:30,3352,352,13,Galo,1425,425,07,Carneiro,2480,480,20,Peru,6360,360,15,Jacaré,0810,810,03,Burro
2024-01-06,PPT,09:30,0619,619,05,Cachorro,0594,594,24,Veado,1974,974,19,Pavão,6854,854,14,Gato,8561,561,16,Leão
2024-01-06,PTM,11:30,0947,947,12,Elefante,1769,769,18,Porco,9950,950,13,Galo,1428,428,07,Carneiro,4927,927,07,Carneiro
2024-01-06,PT,14:30,7553,553,14,Gato,3539,539,10,Coelho,9911,911,03,Burro,2726,726,07,Carneiro,2136,136,09,Cobra
2024-01-06,PTV,16:30,1723,723,06,Cabra,2093,093,24,Veado,1709,709,03,Burro,5881,881,21,Touro,9722,722,06,Cabra
2024-01-06,FED,,6169,169,18,Porco,8908,908,02,Águia,3616,616,04,Borboleta,8535,535,09,Cobra,8317,317,05,Cachorro
2024-01-06,COR,21:30,4459,459,15,Jacaré,2002,002,01,Avestruz,9432,432,08,Camelo,8470,470,18,Porco,3086,086,22,Tigre
2024-01-07,PPT,09:30,5209,209,03,Burro,0803,803,01,Avestruz,3169,169,18,Porco,6539,539,10,Coelho,9083,083,21,Touro
2024-01-07,PTM,11:30,2111,111,03,Burro,6803,803,01,Avestruz,5930,930,08,Camelo,8464,464,16,Leão,1025,025,07,Carneiro
2024-01-07,PT,14:30,9800,800,25,Vaca,6210,210,03,Burro,8740,740,10,Coelho,4530,530,08,Camelo,7986,986,22,Tigre
2024-01-07,PTV,16:30,1287,287,22,Tigre,0826,826,07,Carneiro,4708,708,02,Águia,6578,578,20,Peru,0376,376,19,Pavão
2024-01-08,PPT,09:30,6084,084,21,Touro,0216,216,04,Borboleta,2652,652,13,Galo,9323,323,06,Cabra,1037,037,10,Coelho
2024-01-08,PTM,11:30,7083,083,21,Touro,0164,164,16,Leão,1457,457,15,Jacaré,3274,274,19,Pavão,0383,383,21,Touro
2024-01-08,PT,14:30,5004,004,01,Avestruz,1951,951,13,Galo,0016,016,04,Borboleta,7353,353,14,Gato,1822,822,06,Cabra
2024-01-08,PTV,16:30,9261,261,16,Leão,8479,479,20,Peru,6104,104,01,Avestruz,0653,653,14,Gato,1691,691,23,Urso
2024-01-08,PTN,,9606,606,02,Águia,0500,500,25,Vaca,8317,317,05,Cachorro,2548,548,12,Elefante,4025,025,07,Carneiro
2024-01-08,COR,21:30,7745,745,12,Elefante,5070,070,18,Porco,3104,104,01,Avestruz,5772,772,18,Porco,6829,829,08,Camelo
2024-01-09,PPT,09:30,1877,877,20,Peru,4858,858,15,Jacaré,6452,452,13,Galo,2517,517,05,Cachorro,2759,759,15,Jacaré
2024-01-09,PTM,11:30,0796,796,24,Veado,9092,092,23,Urso,6945,945,12,Elefante,0149,149,13,Galo,9395,395,24,Veado
2024-01-09,PT,14:30,8233,233,09,Cobra,1365,365,17,Macaco,2190,190,23,Urso,6551,551,13,Galo,8121,121,06,Cabra
2024-01-09,PTV,16:30,4509,509,03,Burro,5611,611,03,Burro,5202,202,01,Avestruz,3459,459,15,Jacaré,4187,187,22,Tigre
2024-01-09,PTN,,5116,116,04,Borboleta,6541,541,11,Cavalo,5872,872,18,Porco,6109,109,03,Burro,5245,245,12,Elefante
2024-01-09,COR,21:30,0712,712,03,Burro,4487,487,22,Tigre,7141,141,11,Cavalo,8047,047,12,Elefante,1079,079,20,Peru
2024-01-10,PPT,09:30,9305,305,02,Águia,0756,756,14,Gato,6622,622,06,Cabra,9544,544,11,Cavalo,0282,282,21,Touro
2024-01-10,PTM,11:30,3191,191,23,Urso,4727,727,07,Carneiro,6844,844,11,Cavalo,4766,766,17,Macaco,6434,434,09,Cobra
2024-01-10,PT,14:30,0993,993,24,Veado,1946,946,12,Elefante,9728,728,07,Carneiro,0772,772,18,Porco,4425,425,07,Carneiro
2024-01-10,PTV,16:30,4410,410,03,Burro,4773,773,19,Pavão,1150,150,13,Galo,8058,058,15,Jacaré,8073,073,19,Pavão
2024-01-10,FED,,1528,528,07,Carneiro,0321,321,06,Cabra,7592,592,23,Urso,5960,960,15,Jacaré,1479,479,20,Peru
2024-01-10,COR,21:30,0369,369,18,Porco,6195,195,24,Veado,1821,821,06,Cabra,9095,095,24,Veado,8560,560,15,Jacaré
2024-01-11,PPT,09:30,2017,017,05,Cachorro,2751,751,13,Galo,6817,817,05,Cachorro,5179,179,20,Peru,6228,228,07,Carneiro
2024-01-11,PTM,11:30,4234,234,09,Cobra,6568,568,17,Macaco,5895,895,24,Veado,3821,821,06,Cabra,2529,529,08,Camelo
2024-01-11,PT,14:30,2955,955,14,Gato,2916,916,04,Borboleta,0570,570,18,Porco,3843,843,11,Cavalo,1602,602,01,Avestruz
2024-01-11,PTV,16:30,1043,043,11,Cavalo,7839,839,10,Coelho,6858,858,15,Jacaré,8164,164,16,Leão,1105,105,02,Águia
2024-01-11,PTN,,2563,563,16,Leão,3405,405,02,Águia,6459,459,15,Jacaré,8802,802,01,Avestruz,4610,610,03,Burro
2024-01-11,COR,21:30,2030,030,08,Camelo,2642,642,11,Cavalo,1262,262,16,Leão,7936,936,09,Cobra,3233,233,09,Cobra
2024-01-12,PPT,09:30,6370,370,18,Porco,6894,894,24,Veado,3041,041,11,Cavalo,1281,281,21,Touro,2590,590,23,Urso
2024-01-12,PTM,11:30,0509,509,03,Burro,9998,998,25,Vaca,7554,554,14,Gato,8063,063,16,Leão,7345,345,12,Elefante
2024-01-12,PT,14:30,4407,407,02,Águia,9160,160,15,Jacaré,4848,848,12,Elefante,6760,760,15,Jacaré,9235,235,09,Cobra
2024-01-12,PTV,16:30,9668,668,17,Macaco,7409,409,03,Burro,5849,849,13,Galo,7014,014,04,Borboleta,4776,776,19,Pavão
2024-01-12,PTN,,0618,618,05,Cachorro,6383,383,21,Touro,4795,795,24,Veado,8317,317,05,Cachorro,4468,468,17,Macaco
